x,y
9,594
31,588
57,578
68,573
88,567
102,561
123,557
141,551
162,547
178,543
199,538
219,527
238,526
262,524
278,520
295,520
316,517
335,513
354,513
368,513
383,512
407,509
424,508
451,508
464,508
492,503
514,505
527,504
543,505
566,507
584,508
617,510
644,512
666,512
697,515
716,518
738,522
763,527
790,530
820,537
853,544
878,548
901,553
924,559
943,562
957,574
976,579
1000,588
1019,593
1036,602
1073,621
1021,599
